run_idx	prompt_id	status	tokens_sec	error_flag
01	p0_short	OK	6.2262	false
02	p0_short	OK	6.36754	false
03	p0_short	OK	6.4034	false
04	p0_short	OK	6.358	false
05	p0_short	OK	6.3315	false
06	p0_short	OK	6.43227	false
07	p0_short	OK	6.35808	false
08	p0_short	OK	6.38044	false
09	p0_short	OK	6.36136	false
10	p0_short	OK	6.26482	false
11	p0_short	OK	6.29194	false
12	p0_short	OK	6.35518	false
13	p0_short	OK	6.38161	false
14	p0_short	OK	6.31269	false
15	p0_short	OK	6.3953	false
16	p0_short	OK	6.43449	false
17	p0_short	OK	6.42824	false
18	p0_short	OK	6.34554	false
19	p0_short	OK	6.4528	false
20	p0_short	OK	6.41778	false
