# B3.66 Prefill vs Decode Drift Analysis

**Date**: 2026-02-07

**Total Pairs**: 48
**Pass**: 6
**Fail**: 42
**Missing Pairs**: 0

**RESULT**: INCONCLUSIVE - See details below

## Failure Summary

- ATTN_OUT_DRIFT: 15
- MLP_OUT_DRIFT: 15
- X_IN_DRIFT: 12

## Detailed Results

| PROMPT | TOKEN_ID | POS_ID | LAYER | TENSOR | FIRST_FAIL | ROOT_CAUSE | DETAILS |
|--------|----------|--------|-------|--------|------------|------------|---------|
| p0_short | 116 | 37 | 0 | embed_out | None | None | {'hash_match': True} |
| p0_short | 116 | 37 | 0 | x_in | None | None | {'hash_match': True} |
| p0_short | None | None | 0 | attn_out | ATTN_OUT_DRIFT | ATTN_OUT_DRIFT | {'hash_mismatch': True, 'prefill_hash': 4144761... |
| p0_short | None | None | 0 | mlp_out | MLP_OUT_DRIFT | MLP_OUT_DRIFT | {'hash_mismatch': True, 'prefill_hash': 9465681... |
| p0_short | 116 | 37 | 1 | x_in | X_IN_DRIFT | X_IN_DRIFT | {'hash_mismatch': True, 'prefill_hash': 1464496... |
| p0_short | None | None | 1 | attn_out | ATTN_OUT_DRIFT | ATTN_OUT_DRIFT | {'hash_mismatch': True, 'prefill_hash': 5064490... |
| p0_short | None | None | 1 | mlp_out | MLP_OUT_DRIFT | MLP_OUT_DRIFT | {'hash_mismatch': True, 'prefill_hash': 1659769... |
| p0_short | 116 | 37 | 2 | x_in | X_IN_DRIFT | X_IN_DRIFT | {'hash_mismatch': True, 'prefill_hash': 6879163... |
| p0_short | None | None | 2 | attn_out | ATTN_OUT_DRIFT | ATTN_OUT_DRIFT | {'hash_mismatch': True, 'prefill_hash': 8457546... |
| p0_short | None | None | 2 | mlp_out | MLP_OUT_DRIFT | MLP_OUT_DRIFT | {'hash_mismatch': True, 'prefill_hash': 1123037... |
| p0_short | 116 | 37 | 4 | x_in | X_IN_DRIFT | X_IN_DRIFT | {'hash_mismatch': True, 'prefill_hash': 8822235... |
| p0_short | None | None | 4 | attn_out | ATTN_OUT_DRIFT | ATTN_OUT_DRIFT | {'hash_mismatch': True, 'prefill_hash': 1134241... |
| p0_short | None | None | 4 | mlp_out | MLP_OUT_DRIFT | MLP_OUT_DRIFT | {'hash_mismatch': True, 'prefill_hash': 5911910... |
| p0_short | 116 | 37 | 8 | x_in | X_IN_DRIFT | X_IN_DRIFT | {'hash_mismatch': True, 'prefill_hash': 1782121... |
| p0_short | None | None | 8 | attn_out | ATTN_OUT_DRIFT | ATTN_OUT_DRIFT | {'hash_mismatch': True, 'prefill_hash': 1506949... |
| p0_short | None | None | 8 | mlp_out | MLP_OUT_DRIFT | MLP_OUT_DRIFT | {'hash_mismatch': True, 'prefill_hash': 1382336... |
| p6_len_16 | 116 | 38 | 0 | embed_out | None | None | {'hash_match': True} |
| p6_len_16 | 116 | 38 | 0 | x_in | None | None | {'hash_match': True} |
| p6_len_16 | None | None | 0 | attn_out | ATTN_OUT_DRIFT | ATTN_OUT_DRIFT | {'hash_mismatch': True, 'prefill_hash': 2010720... |
